time,open,high,low,close
2026-07-21 09:00:00+00:00,4067.7,4074.4,4065.4,4070.2
2026-07-21 10:00:00+00:00,4070.5,4074.8,4065.1,4067.3
2026-07-21 11:00:00+00:00,4067.7,4068.3,4058.9,4060.6
2026-07-21 12:00:00+00:00,4060.5,4070.4,4055.0,4058.0
2026-07-21 13:00:00+00:00,4058.3,4066.1,4048.4,4057.2
2026-07-21 14:00:00+00:00,4057.5,4079.1,4055.4,4072.9
2026-07-21 15:00:00+00:00,4072.5,4088.0,4069.8,4078.6
2026-07-21 16:00:00+00:00,4078.5,4083.5,4074.1,4075.9
2026-07-21 17:00:00+00:00,4076.0,4077.2,4071.0,4073.0
2026-07-21 18:00:00+00:00,4072.9,4092.5,4071.9,4087.0
2026-07-21 19:00:00+00:00,4087.0,4090.3,4084.7,4088.6
2026-07-21 20:00:00+00:00,4088.6,4090.9,4080.9,4082.2
2026-07-21 22:00:00+00:00,4084.7,4089.0,4081.0,4084.6
2026-07-21 23:00:00+00:00,4084.4,4087.4,4083.3,4085.2
2026-07-22 00:00:00+00:00,4085.5,4107.5,4081.1,4101.6
2026-07-22 01:00:00+00:00,4102.3,4128.4,4100.8,4126.0
2026-07-22 02:00:00+00:00,4126.4,4135.3,4123.1,4134.7
2026-07-22 03:00:00+00:00,4134.8,4146.0,4133.6,4135.5
2026-07-22 04:00:00+00:00,4135.1,4135.6,4129.4,4131.8
2026-07-22 05:00:00+00:00,4131.6,4138.6,4127.5,4135.5
2026-07-22 06:00:00+00:00,4135.4,4140.0,4117.8,4121.0
2026-07-22 07:00:00+00:00,4120.8,4127.4,4113.3,4114.6
2026-07-22 08:00:00+00:00,4115.0,4124.4,4114.8,4122.3
2026-07-22 09:00:00+00:00,4122.6,4126.6,4117.5,4118.8
2026-07-22 10:00:00+00:00,4119.2,4126.1,4119.2,4121.2
2026-07-22 11:00:00+00:00,4121.8,4127.9,4117.2,4127.4
2026-07-22 12:00:00+00:00,4127.5,4139.5,4110.4,4117.0
2026-07-22 13:00:00+00:00,4117.1,4161.5,4117.0,4160.0
2026-07-22 14:00:00+00:00,4159.8,4168.8,4148.6,4153.4
2026-07-22 15:00:00+00:00,4153.5,4171.4,4153.4,4164.1
2026-07-22 16:00:00+00:00,4164.4,4164.5,4150.1,4152.8
2026-07-22 17:00:00+00:00,4152.8,4153.6,4143.8,4148.1
2026-07-22 18:00:00+00:00,4147.9,4148.4,4137.5,4141.8
2026-07-22 19:00:00+00:00,4141.4,4142.5,4133.9,4136.4
2026-07-22 20:00:00+00:00,4136.4,4142.8,4133.2,4135.0
2026-07-22 22:00:00+00:00,4126.0,4133.0,4074.6,4124.7
2026-07-22 23:00:00+00:00,4125.1,4137.1,4118.9,4135.8
2026-07-23 00:00:00+00:00,4136.8,4138.0,4128.4,4135.3
2026-07-23 01:00:00+00:00,4135.2,4144.0,4116.7,4120.5
2026-07-23 02:00:00+00:00,4120.1,4131.3,4114.7,4130.8
2026-07-23 03:00:00+00:00,4130.9,4135.6,4126.6,4127.6
2026-07-23 04:00:00+00:00,4127.7,4132.9,4122.5,4123.8
2026-07-23 05:00:00+00:00,4124.0,4133.4,4121.6,4126.9
2026-07-23 06:00:00+00:00,4127.1,4131.0,4119.5,4121.6
2026-07-23 07:00:00+00:00,4121.3,4122.2,4093.0,4098.3
2026-07-23 08:00:00+00:00,4098.5,4100.7,4089.7,4096.0
2026-07-23 09:00:00+00:00,4095.9,4102.4,4091.3,4093.2
2026-07-23 10:00:00+00:00,4093.2,4098.6,4088.7,4096.7
2026-07-23 11:00:00+00:00,4096.6,4097.4,4075.7,4088.9
2026-07-23 12:00:00+00:00,4088.4,4089.0,4063.6,4064.6
2026-07-23 13:00:00+00:00,4064.2,4070.1,4042.6,4045.8
2026-07-23 14:00:00+00:00,4046.1,4064.7,4042.5,4061.1
2026-07-23 15:00:00+00:00,4061.5,4062.6,4045.0,4051.2
2026-07-23 16:00:00+00:00,4051.5,4054.6,4048.6,4054.3
2026-07-23 17:00:00+00:00,4054.5,4057.5,4043.9,4043.9
2026-07-23 18:00:00+00:00,4044.4,4050.8,4042.5,4048.8
2026-07-23 19:00:00+00:00,4049.2,4053.3,4045.3,4052.1
2026-07-23 20:00:00+00:00,4051.9,4053.6,4049.8,4052.3
2026-07-23 22:00:00+00:00,4053.4,4053.5,4050.2,4052.0
2026-07-23 23:00:00+00:00,4052.2,4053.8,4048.8,4049.4
2026-07-24 00:00:00+00:00,4049.8,4054.1,4043.2,4052.4
2026-07-24 01:00:00+00:00,4052.9,4053.3,4041.9,4046.0
2026-07-24 02:00:00+00:00,4045.9,4051.0,4025.3,4026.7
2026-07-24 03:00:00+00:00,4027.1,4036.1,4025.4,4031.1
2026-07-24 04:00:00+00:00,4031.3,4032.9,4027.8,4029.8
2026-07-24 05:00:00+00:00,4029.8,4034.6,4024.0,4025.0
2026-07-24 06:00:00+00:00,4025.2,4041.4,4025.0,4038.4
2026-07-24 07:00:00+00:00,4038.2,4056.3,4037.5,4051.1
2026-07-24 08:00:00+00:00,4051.2,4061.5,4047.5,4060.0
2026-07-24 09:00:00+00:00,4060.4,4064.0,4054.2,4062.6
2026-07-24 10:00:00+00:00,4062.6,4067.0,4059.4,4062.2
2026-07-24 11:00:00+00:00,4062.5,4065.9,4053.5,4060.2
2026-07-24 12:00:00+00:00,4060.6,4062.9,4054.2,4058.5
2026-07-24 13:00:00+00:00,4058.8,4071.5,4046.9,4070.0
2026-07-24 14:00:00+00:00,4069.9,4073.0,4058.4,4066.2
2026-07-24 15:00:00+00:00,4066.1,4085.2,4064.7,4079.9
2026-07-24 16:00:00+00:00,4080.3,4080.9,4066.5,4069.5
2026-07-24 17:00:00+00:00,4069.7,4072.8,4065.3,4065.8
2026-07-24 18:00:00+00:00,4066.0,4067.3,4053.5,4056.7
2026-07-24 19:00:00+00:00,4056.9,4060.2,4051.3,4056.1
2026-07-24 20:00:00+00:00,4055.9,4070.8,4053.9,4070.8
2026-07-26 22:00:00+00:00,4091.5,4096.5,4086.9,4092.2
2026-07-26 23:00:00+00:00,4092.9,4099.0,4085.8,4096.9
2026-07-27 00:00:00+00:00,4097.2,4119.3,4093.2,4102.6
2026-07-27 01:00:00+00:00,4103.1,4114.8,4098.9,4112.0
2026-07-27 02:00:00+00:00,4112.2,4112.9,4095.6,4095.7
2026-07-27 03:00:00+00:00,4095.5,4097.8,4087.0,4092.5
2026-07-27 04:00:00+00:00,4093.0,4095.0,4088.9,4091.7
2026-07-27 05:00:00+00:00,4092.5,4097.0,4086.5,4095.3
2026-07-27 06:00:00+00:00,4094.9,4101.4,4093.3,4098.4
2026-07-27 07:00:00+00:00,4098.2,4108.3,4090.5,4090.7
2026-07-27 08:00:00+00:00,4090.9,4098.7,4088.8,4097.7
2026-07-27 09:00:00+00:00,4096.8,4102.7,4091.8,4098.9
2026-07-27 10:00:00+00:00,4098.8,4104.6,4088.4,4102.1
2026-07-27 11:00:00+00:00,4102.2,4107.0,4095.6,4095.9
2026-07-27 12:00:00+00:00,4096.1,4099.8,4082.4,4085.2
2026-07-27 13:00:00+00:00,4085.8,4091.8,4071.6,4075.8
2026-07-27 14:00:00+00:00,4075.9,4081.0,4067.1,4078.4
2026-07-27 15:00:00+00:00,4078.3,4082.2,4073.9,4080.6
2026-07-27 16:00:00+00:00,4080.8,4095.7,4079.9,4084.1
