time,open,high,low,close
2026-08-27 06:45:00+00:00,4661.6,4663.5,4651.7,4654.3
2026-08-27 07:00:00+00:00,4654.3,4659.7,4652.6,4657.7
2026-08-27 07:15:00+00:00,4657.5,4657.5,4647.2,4653.3
2026-08-27 07:30:00+00:00,4653.4,4655.1,4648.7,4651.5
2026-08-27 07:45:00+00:00,4651.8,4656.3,4649.4,4653.4
2026-08-27 08:00:00+00:00,4654.0,4660.5,4653.2,4656.8
2026-08-27 08:15:00+00:00,4657.2,4659.8,4653.6,4654.7
2026-08-27 08:30:00+00:00,4654.5,4655.3,4647.9,4649.2
2026-08-27 08:45:00+00:00,4649.2,4655.5,4648.9,4652.3
2026-08-27 09:00:00+00:00,4652.3,4653.8,4646.6,4648.7
2026-08-27 09:15:00+00:00,4649.0,4652.5,4646.8,4650.7
2026-08-27 09:30:00+00:00,4650.9,4652.1,4631.0,4635.6
2026-08-27 09:45:00+00:00,4635.4,4639.0,4631.7,4633.2
2026-08-27 10:00:00+00:00,4632.9,4634.7,4618.9,4634.4
2026-08-27 10:15:00+00:00,4634.0,4636.2,4629.9,4633.2
2026-08-27 10:30:00+00:00,4632.9,4639.1,4628.9,4638.6
2026-08-27 10:45:00+00:00,4638.6,4643.6,4638.4,4643.0
2026-08-27 11:00:00+00:00,4643.1,4645.7,4640.2,4645.5
2026-08-27 11:15:00+00:00,4645.4,4650.2,4644.2,4647.4
2026-08-27 11:30:00+00:00,4647.9,4653.0,4647.1,4651.0
2026-08-27 11:45:00+00:00,4651.0,4653.7,4647.9,4652.3
2026-08-27 12:00:00+00:00,4652.0,4654.7,4646.0,4646.1
2026-08-27 12:15:00+00:00,4646.0,4654.1,4645.0,4650.0
2026-08-27 12:30:00+00:00,4650.6,4651.0,4640.7,4641.0
2026-08-27 12:45:00+00:00,4641.0,4641.6,4633.7,4639.3
2026-08-27 13:00:00+00:00,4639.2,4644.0,4633.0,4638.5
2026-08-27 13:15:00+00:00,4638.2,4646.4,4636.0,4643.1
2026-08-27 13:30:00+00:00,4643.0,4646.0,4624.5,4631.3
2026-08-27 13:45:00+00:00,4630.7,4635.9,4616.0,4625.9
2026-08-27 14:00:00+00:00,4625.6,4632.8,4621.7,4627.6
2026-08-27 14:15:00+00:00,4627.0,4637.9,4627.0,4634.6
2026-08-27 14:30:00+00:00,4634.4,4651.5,4634.4,4648.8
